platform,set,component,tags,description,use1_title,use1_detect,use1_decide,use1_do,use1_image_url,use2_title,use2_detect,use2_decide,use2_do,use2_image_url,parts,component_image_url,code1_label,code1,code2_label,code2,code3_label,code3,note,wiring,wiring_image_url,quick_reference,github_url
"Raspberry Pi / Pico","Pete","PIR","Detect, Motion","A PIR sensor helps your project notice movement from people or warm things nearby.
PIR stands for passive infrared. It watches for changes in heat moving across its view.
Your projects can use PIR sensors for lights, alarms, counters, and dramatic entrances.","Room light","Someone walks in","Room is occupied","Turn light on","https://github.com/raspberrypilearning/skills-bricks/blob/master/PIR-Pete/images/room-light.png","Sneaky snack guard","Hand approaches biscuits","Snack raid detected","Sound alarm","https://github.com/raspberrypilearning/skills-bricks/blob/master/PIR-Pete/images/sneaky-snack-guard.png","VCC: Power; OUT: Motion signal; GND: Ground; Lens: Wide view","https://github.com/raspberrypilearning/skills-bricks/blob/master/PIR-Pete/images/component-pir.png","Raspberry Pi","from gpiozero import MotionSensor

pir = MotionSensor(17)

motion = pir.motion_detected","Raspberry Pi Pico","from picozero import MotionSensor

pir = MotionSensor(2)

motion = pir.motion_detected","","","Use motion when your project needs to react to movement.","VCC -> 5V | OUT -> GPIO 17 | GND -> GND | VCC -> 3V3 or 5V module supply | OUT -> GP2 | GND -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/PIR-Pete/pir-skill-brick.html"
"Raspberry Pi / Pico","MrC","PIR Sensor","Detect, Motion","A PIR sensor tells your project when something warm moves nearby.
PIR stands for passive infrared. It detects changes in infrared energy, so it is very good at noticing people moving through its view.
Your projects can use a PIR sensor for automatic lights, security alarms, or movement-triggered actions.","Automatic hallway light","Person moving past sensor","Someone has arrived","Turn on light","https://github.com/raspberrypilearning/skills-bricks/blob/master/PIR/hallway-light.png","Security alarm","Movement in protected room","Alarm should trigger","Sound warning","https://github.com/raspberrypilearning/skills-bricks/blob/master/PIR/security-alarm.png","Dome: Senses movement; Pins: VCC OUT GND; Adjusters: Time and range","https://github.com/raspberrypilearning/skills-bricks/blob/master/PIR/pir-module.png","Raspberry Pi","from gpiozero import MotionSensor

pir = MotionSensor(4)

motion = pir.motion_detected","Raspberry Pi Pico","from machine import Pin

pir = Pin(2, Pin.IN)

motion = pir.value()","","","Use motion later in your Decide code to react when someone moves. Many PIR modules need a short warm-up time after power is connected before their readings settle.","5V -> VCC | GPIO 4 GND | 5V -> VCC | GP2 GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/PIR/pir-skill-brick.html"
"Raspberry Pi / Pico","MrC","Piezo Buzzer","Do, Sound","A piezo buzzer is a small part that makes a buzz or beep when your code turns it on.
It changes electrical energy into vibration, which creates a sound you can hear without needing a screen or lights.
Your projects can use a buzzer for alarms, countdowns, warnings, or fun sound effects.","Sound alert","Program needs to alert","User must hear it now","Beep the buzzer","https://github.com/raspberrypilearning/skills-bricks/blob/master/Piezo_Buzzer/buzzer_sound.png","Safety warning alarm","Unsafe machine state","People must stay back","Sound the buzzer","https://github.com/raspberrypilearning/skills-bricks/blob/master/Piezo_Buzzer/buzzerimage2.png","Positive: Signal side; Negative: Ground side; Sound hole: Lets sound out","https://github.com/raspberrypilearning/skills-bricks/blob/master/Piezo_Buzzer/buzzer.png","Raspberry Pi","from gpiozero import Buzzer

buzzer = Buzzer(17)

buzzer.on()","Raspberry Pi Pico","from picozero import Buzzer

buzzer = Buzzer(2)

buzzer.on()","","","Use an active buzzer for the simplest setup. Try buzzer.on() , buzzer.off() , or buzzer.beep() later in your Do code.","GPIO 17 -> buzzer positive | buzzer negative -> GND | GP2 -> buzzer positive | buzzer negative -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Piezo_Buzzer/piezo-buzzer-skill-brick.html"
"Raspberry Pi / Pico","Pete","Potentiometer","Detect, Turn","A potentiometer is a knob your project can read.
Turning the shaft changes the voltage on the middle pin, giving your code a value from low to high.
Your projects can use a potentiometer for volume, speed, brightness, choices, and silly dials.","Volume knob","Knob is turned","New level chosen","Set volume","https://github.com/raspberrypilearning/skills-bricks/blob/master/Potentiometer-Pete/images/volume-knob.png","Ridiculousness dial","Dial turns upward","Dial is silly enough","Add more sparkle","https://github.com/raspberrypilearning/skills-bricks/blob/master/Potentiometer-Pete/images/ridiculousness-dial.png","End pin: One side; Wiper: Middle pin; End pin: Other side; Shaft: Turn here","https://github.com/raspberrypilearning/skills-bricks/blob/master/Potentiometer-Pete/images/component-potentiometer.svg","Raspberry Pi","from gpiozero import MCP3008

pot = MCP3008(channel=0)

level = pot.value","Raspberry Pi Pico","from picozero import Potentiometer

pot = Potentiometer(26)

level = pot.value","","","Use level when your project needs to react to the knob.","SIG -> ADC channel 0 | outer pins -> 3V3 and GND | SIG -> ADC GP26 | outer pins -> 3V3 and GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Potentiometer-Pete/potentiometer-skill-brick.html"
"Raspberry Pi / Pico","Pete","RGB LED","Do, Colour","An RGB LED combines red, green, and blue lights in one part.
By changing the brightness of each colour, your code can mix lots of different colours.
Your projects can use RGB LEDs for moods, warnings, game states, and small light shows.","Status light","Project mode changes","Mode has a colour","Show colour","https://github.com/raspberrypilearning/skills-bricks/blob/master/RGB_LED-Pete/images/status-light.png","Mood crystal","Button is pressed","Mystery mood chosen","Glow weirdly","https://github.com/raspberrypilearning/skills-bricks/blob/master/RGB_LED-Pete/images/mood-crystal.png","Red: Red pin; Green: Green pin; Blue: Blue pin; Common: GND or 3V3","https://github.com/raspberrypilearning/skills-bricks/blob/master/RGB_LED-Pete/images/component-rgb-led.svg","Raspberry Pi","from gpiozero import RGBLED

led = RGBLED(red=17, green=27, blue=22)

led.color = (1, 0, 1)","Raspberry Pi Pico","from picozero import RGBLED

led = RGBLED(red=2, green=3, blue=4)

led.color = (1, 0, 1)","","","Use led.color after a Detect brick spots something.","Red -> GPIO 17 | Green -> GPIO 27 | Blue -> GPIO 22 | common -> GND | Red -> GP2 | Green -> GP3 | Blue -> GP4 | common -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/RGB_LED-Pete/rgb-led-skill-brick.html"
"Raspberry Pi / Pico","Pete (example)","Ultrasonic Distance Sensor","Detect, Level","A distance sensor measures how far away something is without touching it.
It works a bit like a bat, sending out sounds and listening for the echo bouncing back to understand how far away things are.
Your projects can use the distance to react when something moves closer or further away.","Car reversing sensor","Car distance to wall","Wall is closer than 0.5 m","Turn on beeper","https://github.com/raspberrypilearning/skills-bricks/blob/master/Skills_Brick_Example-Pete/images/car-sensors.png","Magic treasure chest","Hand distance to chest","Hand is close enough","Light LED and open lid","https://github.com/raspberrypilearning/skills-bricks/blob/master/Skills_Brick_Example-Pete/images/magic-chest.png","VCC: Power; Trig: Sends pulse; Echo: Gets echo; GND: Ground","https://github.com/raspberrypilearning/skills-bricks/blob/master/Skills_Brick_Example-Pete/images/component-ultrasonic-distance-sensor.png","Raspberry Pi","from gpiozero import DistanceSensor

sensor = DistanceSensor(
    echo=18,
    trigger=17
)

distance = sensor.distance","Raspberry Pi Pico","from picozero import DistanceSensor

sensor = DistanceSensor(
    echo=3,
    trigger=2
)

distance = sensor.distance","","","Use distance when your project needs to react to nearby things.","Trigger: GPIO 17 Echo: GPIO 18 | Trigger: GP2 Echo: GP3","https://github.com/raspberrypilearning/skills-bricks/blob/master/Skills_Brick_Example-Pete/images/HC-SR04P-pi.png | https://github.com/raspberrypilearning/skills-bricks/blob/master/Skills_Brick_Example-Pete/images/HC-SR04P-pico.png","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Skills_Brick_Example-Pete/ultrasonic-distance-sensor.html"
"Raspberry Pi / Pico","Pete","Speaker","Do, Sound","A speaker lets your project play tones and simple tunes.
Code changes the signal quickly to make the speaker vibrate at different pitches.
Your projects can use speakers for melodies, warnings, secret jingles, and dramatic noises.","Door chime","Door opens","Visitor arrived","Play tune","https://github.com/raspberrypilearning/skills-bricks/blob/master/Speaker-Pete/images/door-chime.png","Tiny fanfare machine","Excellent thing happens","Celebration required","Play fanfare","https://github.com/raspberrypilearning/skills-bricks/blob/master/Speaker-Pete/images/tiny-fanfare-machine.png","+: Signal; -: Ground; Cone: Vibrates; Magnet: Moves cone","https://github.com/raspberrypilearning/skills-bricks/blob/master/Speaker-Pete/images/component-speaker.png","Raspberry Pi","from gpiozero import TonalBuzzer
from gpiozero.tones import Tone

speaker = TonalBuzzer(17)

speaker.play(Tone('A4'))","Raspberry Pi Pico","from picozero import Speaker

speaker = Speaker(2)

speaker.play('E4', duration=1)","","","Use speaker.play() after a Detect brick spots something.","+ pin -> GPIO 17 | - pin -> GND | + pin -> GP2 | - pin -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Speaker-Pete/speaker-skill-brick.html"
"Raspberry Pi / Pico","Pete","Stepper","Do, Steps","A stepper motor moves in small controlled steps.
A driver board switches its coils in order, so code can choose direction and position more carefully.
Your projects can use steppers for dials, pointers, lifts, tiny plotters, and slow dramatic reveals.","Pointer dial","New value appears","Pointer must move","Step to angle","https://github.com/raspberrypilearning/skills-bricks/blob/master/Stepper-Pete/images/pointer-dial.png","Snack lift","Treat is requested","Treat can be lifted","Raise tiny elevator","https://github.com/raspberrypilearning/skills-bricks/blob/master/Stepper-Pete/images/snack-lift.png","Shaft: Turns in steps; Coils: Inside motor; Wires: To driver; Mounts: Screw holes","https://github.com/raspberrypilearning/skills-bricks/blob/master/Stepper-Pete/images/component-stepper.svg","Raspberry Pi","from gpiozero import OutputDevice

coils = [OutputDevice(pin) for pin in (17, 18, 27, 22)]

coils[0].on()","Raspberry Pi Pico","from picozero import Stepper

stepper = Stepper((2, 3, 4, 5))

stepper.step(100)","","","Use coils[0].on() on Raspberry Pi or stepper.step(100) on Pico after a Detect brick spots something.","IN1-IN4 -> GPIO 17, 18, 27, 22 | driver power -> motor supply and GND | IN1-IN4 -> GP2, GP3, GP4, GP5 | driver power -> motor supply and GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Stepper-Pete/stepper-skill-brick.html"
"Raspberry Pi / Pico","Pete","Temp Sensor","Detect, Heat","A temperature sensor helps your project notice how warm or cold something is.
Many temperature sensors send a changing voltage or digital reading that code can turn into a temperature.
Your projects can use temperature to warn, log, cool, heat, or complain about soup.","Plant propagator","Air gets too cold","Seedlings need warmth","Turn heater on","https://github.com/raspberrypilearning/skills-bricks/blob/master/Temp_Sensor-Pete/images/plant-propagator.png","Soup drama meter","Soup is too hot","Tongue danger detected","Flash panic light","https://github.com/raspberrypilearning/skills-bricks/blob/master/Temp_Sensor-Pete/images/soup-drama-meter.png","VCC: Power; DATA: Reading; GND: Ground; Probe: Sensing tip","https://github.com/raspberrypilearning/skills-bricks/blob/master/Temp_Sensor-Pete/images/component-temperature-sensor.png","Raspberry Pi","from gpiozero import MCP3008

sensor = MCP3008(channel=0)

reading = sensor.value","Raspberry Pi Pico","from picozero import TemperatureSensor

def tmp36(voltage):
    return (voltage - 0.5) * 100

sensor = TemperatureSensor(26, conversion=tmp36)

temp = sensor.temp","","","Use reading or temp when your project needs to react to temperature.","Sensor OUT -> ADC channel 0 | sensor VCC -> 3V3 | sensor GND -> GND | Sensor OUT -> ADC GP26 | sensor VCC -> 3V3 | sensor GND -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Temp_Sensor-Pete/temp-sensor-skill-brick.html"
"Raspberry Pi / Pico","Pete","Tilt Switch","Detect, Tilt","A tilt switch lets your project notice when something tips or changes angle.
Inside, a tiny moving contact opens or closes the circuit when the switch tilts.
Your projects can use tilt to spot bumps, flips, lids opening, or things being picked up.","Box lid sensor","Box is tilted open","Lid has moved","Start surprise","https://github.com/raspberrypilearning/skills-bricks/blob/master/Tilt_Switch-Pete/images/box-lid-sensor.png","Grumpy pencil case","Case is shaken","Shake is big enough","Complain loudly","https://github.com/raspberrypilearning/skills-bricks/blob/master/Tilt_Switch-Pete/images/grumpy-pencil-case.png","Leg 1: Signal; Leg 2: Ground; Tube: Tilt body; Ball: Moves inside","https://github.com/raspberrypilearning/skills-bricks/blob/master/Tilt_Switch-Pete/images/component-tilt-switch.svg","Raspberry Pi","from gpiozero import Button

tilt = Button(17)

tilted = tilt.is_pressed","Raspberry Pi Pico","from picozero import Switch

tilt = Switch(2)

tilted = tilt.is_closed","","","Use tilted when your project needs to react to being tipped.","One leg -> GPIO 17 | other leg -> GND | One leg -> GP2 | other leg -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Tilt_Switch-Pete/tilt-switch-skill-brick.html"
"Raspberry Pi / Pico","Pete","Toggle Switch","Detect, Switch","A toggle switch stays in one position until someone flips it back.
That makes it useful for modes, power choices, and settings that should not disappear when you let go.
Your projects can use toggle switches for arming, choosing, locking, and secret control panels.","Mode selector","Switch is flipped","New mode selected","Change behaviour","https://github.com/raspberrypilearning/skills-bricks/blob/master/Toggle_Switch-Pete/images/mode-selector.png","Serious business lever","Lever flips up","Important mode begins","Play dramatic sound","https://github.com/raspberrypilearning/skills-bricks/blob/master/Toggle_Switch-Pete/images/serious-business-lever.png","COM: Common; NO: On side; NC: Off side; Lever: Flip here","https://github.com/raspberrypilearning/skills-bricks/blob/master/Toggle_Switch-Pete/images/component-toggle-switch.svg","Raspberry Pi","from gpiozero import Button

switch = Button(17)

on = switch.is_pressed","Raspberry Pi Pico","from picozero import Switch

switch = Switch(2)

on = switch.is_closed","","","Use on when your project needs to react to the switch position.","COM -> GND | NO -> GPIO 17 | COM -> GND | NO -> GP2","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Toggle_Switch-Pete/toggle-switch-skill-brick.html"
"Raspberry Pi / Pico","MrC","Ultrasonic Distance Sensor","Detect, Level","A distance sensor measures how far away something is without touching it.
It works a bit like a bat, sending out sounds and listening for the echo bouncing back to understand how far away things are.
Your projects can use the distance to react when something moves closer or further away.","Car reversing sensor","Car distance to wall","Wall is closer than 0.5 m","Turn on beeper","https://github.com/raspberrypilearning/skills-bricks/blob/master/UDS/images/car-sensors.png","Magic treasure chest","Hand distance to chest","Hand is close enough","Light LED and open lid","https://github.com/raspberrypilearning/skills-bricks/blob/master/UDS/images/magic-chest.png","VCC: Power; Trig: Sends pulse; Echo: Gets echo; GND: Ground","https://github.com/raspberrypilearning/skills-bricks/blob/master/UDS/images/HC-SR04P.png","Raspberry Pi","from gpiozero import DistanceSensor

sensor = DistanceSensor(
    echo=18,
    trigger=17
)

distance = sensor.distance","Raspberry Pi Pico","from picozero import DistanceSensor

sensor = DistanceSensor(
    echo=3,
    trigger=2
)

distance = sensor.distance","","","Use distance later in your Decide code to make your project react.","Trigger: GPIO 17 Echo: GPIO 18 | Trigger: GP2 Echo: GP3","https://github.com/raspberrypilearning/skills-bricks/blob/master/UDS/images/HC-SR04P-pi.png | https://github.com/raspberrypilearning/skills-bricks/blob/master/UDS/images/HC-SR04P-pico.png","","https://github.com/raspberrypilearning/skills-bricks/blob/master/UDS/ultrasonic-distance-sensor.html"
